X,Date,Opponent,W.L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS,year,home_away,conf_nonconf,block.success,kills.per.set,blocks.per.set,blocking.error.rate,assists.per.set,bhe.rate,digs.per.set,sre.per.set,se.per.set,sa.per.set,yearless,yearless.date
1,2021-09-03,vs Hope College,W,3,37,11,86,0.302,33,2,5,6,40,1,10,0,6,0,45,2021,away,non-conference,0.6,12.3333333333333,2,0,11,0,13.3333333333333,2,1.66666666666667,0.666666666666667,03/09,2022-09-03
2,2021-09-04,vs Aurora University,L,5,52,21,164,0.189,47,9,8,6,74,1,8,3,5,3,66,2021,away,non-conference,0.625,10.4,1,0.6,9.4,0.0638297872340425,14.8,1.2,1.6,1.8,04/09,2022-09-04
3,2021-09-04,Univ. of Chicago,W,3,32,7,94,0.266,30,6,7,2,41,1,20,1,11,1,49,2021,away,non-conference,0.55,10.6666666666667,3.66666666666667,0.333333333333333,10,0.0333333333333333,13.6666666666667,0.666666666666667,2.33333333333333,2,04/09,2022-09-04
4,2021-09-10,vs UW-Eau Claire,W,4,45,20,137,0.182,43,7,7,8,70,2,24,2,14,0,66,2021,away,non-conference,0.583333333333333,11.25,3.5,0.5,10.75,0,17.5,2,1.75,1.75,10/09,2022-09-10
5,2021-09-11,vs Wartburg,W,4,55,19,163,0.221,47,5,5,8,81,4,8,1,8,0,68,2021,away,non-conference,1,13.75,2,0.25,11.75,0,20.25,2,1.25,1.25,11/09,2022-09-11
6,2021-09-11,vs Dubuque,L,5,43,27,153,0.105,41,7,6,9,60,2,16,4,10,2,60,2021,away,non-conference,0.625,8.6,2,0.8,8.2,0.0487804878048781,12,1.8,1.2,1.4,11/09,2022-09-11
7,2021-09-17,vs Carthage,W,3,48,7,93,0.441,42,4,9,4,36,4,4,2,6,3,58,2021,away,non-conference,1.5,16,2,0.666666666666667,14,0.0714285714285714,12,1.33333333333333,3,1.33333333333333,17/09,2022-09-17
8,2021-09-17,"Dubuque, Univ. of",W,5,55,7,163,0.294,45,8,5,7,60,0,4,0,2,1,65,2021,away,non-conference,0.5,11,0.4,0,9,0.0222222222222222,12,1.4,1,1.6,17/09,2022-09-17
9,2021-09-18,vs Westminster (MO),L,3,17,23,81,-0.074,14,3,3,9,28,2,10,3,7,2,27,2021,away,non-conference,0.7,5.66666666666667,2.33333333333333,1,4.66666666666667,0.142857142857143,9.33333333333333,3,1,1,18/09,2022-09-18
10,2021-09-22,St. Scholastica,L,3,32,17,110,0.136,32,3,3,2,51,2,4,3,4,0,39,2021,away,conference,1,10.6666666666667,1.33333333333333,1,10.6666666666667,0,17,0.666666666666667,1,1,22/09,2022-09-22
11,2021-09-24,vs Ripon,L,3,28,14,98,0.143,24,3,2,4,39,0,4,1,2,1,33,2021,away,non-conference,0.5,9.33333333333333,0.666666666666667,0.333333333333333,8,0.0416666666666667,13,1.33333333333333,0.666666666666667,1,24/09,2022-09-24
12,2021-09-25,vs Wis.-Oshkosh,W,4,49,22,119,0.227,42,12,8,3,49,4,10,0,9,1,70,2021,away,non-conference,0.9,12.25,2.25,0,10.5,0.0238095238095238,12.25,0.75,2,3,25/09,2022-09-25
13,2021-09-25,Wis.-Stevens Point,W,4,44,19,145,0.172,42,9,3,3,60,0,22,3,11,0,64,2021,away,non-conference,0.5,11,2.75,0.75,10.5,0,15,0.75,0.75,2.25,25/09,2022-09-25
14,2021-09-29,Northwestern (Minn.),W,3,40,6,88,0.386,36,6,8,1,40,2,16,0,10,1,56,2021,away,non-conference,0.625,13.3333333333333,3.33333333333333,0,12,0.0277777777777778,13.3333333333333,0.333333333333333,2.66666666666667,2,29/09,2022-09-29
