Date,Drill,Points.iar,Free.ball.iar,Kills.iar,Serve.receive.iar,Serves.iar
04/05/2022,Normal vb,1,2,1,2,25
04/05/2022,Normal vb,1,,1,2,13
04/05/2022,Normal vb,1,,1,3,
04/05/2022,Normal vb,4,,1,1,
04/05/2022,Normal vb,2,,1,3,
04/05/2022,Normal vb,1,,1,1,
04/05/2022,Normal vb,3,,1,2,
04/05/2022,Normal vb,1,,4,2,
04/05/2022,Normal vb,2,,1,1,
04/05/2022,Normal vb,5,,,,
04/05/2022,Normal vb,4,,,,
04/05/2022,Normal vb,1,,,,
04/05/2022,Normal vb,1,,,,
04/05/2022,Normal vb,5,,,,
04/05/2022,Normal vb,3,,,,
04/05/2022,Normal vb,2,,,,
04/05/2022,Normal vb,1,,,,
04/05/2022,Normal vb,2,,,,
04/05/2022,Normal vb,2,,,,
04/07/2022,Nevs,,32,1,,
04/07/2022,Nevs,,,2,,
04/07/2022,Nevs,,,1,,
04/07/2022,Nevs,,,1,,
04/07/2022,Nevs,,,3,,
04/07/2022,Nevs,,,3,,
04/07/2022,Nevs,,,1,,
04/07/2022,Nevs,,,1,,
04/07/2022,Nevs,,,1,,
04/07/2022,Nevs,,,4,,
04/07/2022,Nevs,,,1,,
04/07/2022,Nevs,,,1,,
04/07/2022,Normal vb,1,1,1,1,17
04/07/2022,Normal vb,1,,2,3,1
04/07/2022,Normal vb,1,,2,2,6
04/07/2022,Normal vb,2,,1,4,3
04/07/2022,Normal vb,2,,4,1,2
04/07/2022,Normal vb,1,,1,3,
04/07/2022,Normal vb,2,,4,1,
04/07/2022,Normal vb,2,,,1,
04/07/2022,Normal vb,1,,,2,
04/07/2022,Normal vb,1,,,,
04/07/2022,Normal vb,2,,,,
04/07/2022,Normal vb,1,,,,
04/07/2022,Normal vb,1,,,,
04/07/2022,Normal vb,5,,,,
04/07/2022,Normal vb,3,,,,
04/07/2022,Normal vb,2,,,,
04/07/2022,Normal vb,1,,,,
04/07/2022,Normal vb,1,,,,
04/07/2022,Normal vb,1,,,,
04/07/2022,Normal vb,1,,,,
04/07/2022,Normal vb,2,,,,
04/07/2022,Normal vb,2,,,,
04/07/2022,Normal vb,2,,,,
