,hit,points.total,points.position,hitter,set,oss,dig,opponent,result,order
,attempt,0,0,kate,1,0,0,hope,0,1
,attempt,0,0,kate,1,0,1,hope,0,1
,error,1,-1,maycie,1,1,0,hope,0,1
,kill,2,0,cat,1,0,0,hope,0,1
,kill,4,-2,cat,1,0,0,hope,0,1
,error,5,-3,t,1,1,1,hope,0,1
,attempt,6,-2,cat,1,0,0,hope,0,1
,kill,8,-2,any,1,0,0,hope,0,1
,error,9,-1,maycie,1,0,1,hope,0,1
,kill,10,-2,any,1,0,0,hope,0,1
,kill,11,-1,kate,1,0,1,hope,0,1
,kill,12,0,maycie,1,1,1,hope,0,1
,attempt,15,1,kate,1,0,0,hope,0,1
,error,16,0,any,1,0,0,hope,0,1
,attempt,17,-1,maycie,1,0,0,hope,0,1
,attempt,17,-1,maycie,1,0,1,hope,0,1
,error,19,-1,maycie,1,0,0,hope,0,1
,kill,21,-3,kate,1,0,0,hope,0,1
,attempt,23,-3,kate,1,0,0,hope,0,1
,kill,23,-3,cat,1,0,1,hope,0,1
,kill,25,-3,cat,1,0,0,hope,0,1
,kill,27,-3,t,1,0,0,hope,0,1
,error,29,-3,any,1,0,0,hope,0,1
,error,30,-4,nic,1,0,0,hope,0,1
,attempt,32,-4,any,1,0,0,hope,0,1
,attempt,32,-6,nic,1,0,1,hope,0,1
,error,32,-6,nic,1,0,0,hope,0,1
,kill,33,-7,any,1,0,1,hope,0,1
,attempt,33,-7,any,1,0,0,hope,0,1
,attempt,35,-8,kate,1,0,0,hope,0,1
,attempt,36,-7,maycie,1,0,1,hope,0,1
,error,37,-8,t,1,0,1,hope,0,1
,attempt,38,-7,cat,1,0,0,hope,0,1
,attempt,39,-8,kate,1,0,1,hope,0,1
,attempt,41,-8,t,1,0,0,hope,0,1
,error,41,-8,cat,1,1,1,hope,0,1
,error,1,-1,kate,2,0,0,hope,0,2
,attempt,2,-2,t,2,0,1,hope,0,2
,attempt,2,-2,t,2,0,1,hope,0,2
,attempt,6,-2,nic,2,0,1,hope,0,2
,attempt,8,-2,t,2,0,0,hope,0,2
,attempt,10,-2,t,2,0,0,hope,0,2
,attempt,12,-2,any,2,0,0,hope,0,2
,kill,12,-2,any,2,1,1,hope,0,2
,attempt,14,-2,kate,2,0,0,hope,0,2
,attempt,14,-2,any,2,0,1,hope,0,2
,attempt,14,-2,kate,2,0,1,hope,0,2
,kill,14,-2,nora,2,0,1,hope,0,2
,error,16,-2,cat,2,0,0,hope,0,2
,attempt,20,-4,kate,2,0,0,hope,0,2
,attempt,21,-5,cat,2,0,0,hope,0,2
,attempt,22,-6,kate,2,0,0,hope,0,2
,kill,24,-8,cat,2,0,0,hope,0,2
,kill,27,-9,cat,2,0,0,hope,0,2
,kill,29,-9,nic,2,0,0,hope,0,2
,error,31,-8,any,2,0,0,hope,0,2
,kill,32,-9,kate,2,0,0,hope,0,2
,attempt,33,-9,nora,2,0,1,hope,0,2
,attempt,34,-8,any,2,0,1,hope,0,2
,attempt,35,-7,nora,2,0,1,hope,0,2
,error,36,-6,any,2,0,1,hope,0,2
,kill,37,-7,nora,2,0,0,hope,0,2
,attempt,38,-6,nora,2,1,1,hope,0,2
,attempt,39,-5,nora,2,0,0,hope,0,2
,attempt,40,-6,nora,2,1,0,hope,0,2
,attempt,41,-5,nora,2,0,1,hope,0,2
,kill,42,-6,cat,2,0,1,hope,0,2
,kill,0,0,cat,3,0,0,hope,0,3
,kill,2,0,kate,3,0,0,hope,0,3
,attempt,3,1,t,3,0,1,hope,0,3
,attempt,4,0,cat,3,0,0,hope,0,3
,error,4,0,cat,3,1,1,hope,0,3
,attempt,5,1,nic,3,0,0,hope,0,3
,kill,6,0,cat,3,0,1,hope,0,3
,kill,7,1,any,3,0,1,hope,0,3
,error,9,1,t,3,0,0,hope,0,3
,kill,10,0,nic,3,1,1,hope,0,3
,kill,12,0,nora,3,0,0,hope,0,3
,kill,14,1,kate,3,0,0,hope,0,3
,kill,16,0,nora,3,0,0,hope,0,3
,error,19,1,cat,3,0,0,hope,0,3
,kill,20,0,kate,3,0,0,hope,0,3
,attempt,21,1,cat,3,0,0,hope,0,3
,kill,21,0,nic,3,0,0,hope,0,3
,attempt,26,0,nora,3,0,0,hope,0,3
,kill,26,0,t,3,0,1,hope,0,3
,error,27,1,any,3,0,1,hope,0,3
,attempt,28,0,kate,3,0,0,hope,0,3
,kill,28,0,kate,3,0,1,hope,0,3
,kill,31,-1,kate,3,0,0,hope,0,3
,attempt,33,0,cat,3,0,0,hope,0,3
,attempt,35,1,t,3,0,1,hope,0,3
,kill,37,2,cat,3,0,1,hope,0,3
,attempt,39,3,cat,3,0,0,hope,0,3
,error,39,3,t,3,0,1,hope,0,3
,attempt,40,2,t,3,0,0,hope,0,3
,attempt,40,2,t,3,0,1,hope,0,3
,attempt,41,1,cat,3,0,0,hope,0,3
,error,42,0,t,3,0,0,hope,0,3
,attempt,43,-1,t,3,1,0,hope,0,3
,error,44,-2,nic,3,0,0,hope,0,3
,error,44,-3,cat,3,0,0,hope,0,3
,kill,0,0,cat,5,0,0,dubuque,1,24
,attempt,1,1,cat,5,0,0,dubuque,1,24
,attempt,1,1,kate,5,0,0,dubuque,1,24
,kill,2,0,cat,5,0,0,dubuque,1,24
,kill,4,0,nic,5,0,0,dubuque,1,24
,attempt,6,2,t,5,1,1,dubuque,1,24
,kill,6,2,any,5,0,1,dubuque,1,24
,kill,8,4,nic,5,0,0,dubuque,1,24
,error,10,4,nic,5,0,0,dubuque,1,24
,kill,11,3,any,5,0,0,dubuque,1,24
,attempt,12,4,any,5,1,1,dubuque,1,24
,attempt,12,4,t,5,1,1,dubuque,1,24
,attempt,12,4,any,5,0,1,dubuque,1,24
,kill,12,4,nic,5,0,0,dubuque,1,24
,attempt,15,5,nic,5,0,0,dubuque,1,24
,kill,15,5,gully,5,1,1,dubuque,1,24
,kill,17,5,any,5,0,0,dubuque,1,24
,error,21,5,gully,5,1,0,dubuque,1,24
,kill,22,4,gully,5,0,0,dubuque,1,24
,error,24,4,kate,5,0,0,dubuque,1,24
,attempt,25,3,kate,5,0,0,dubuque,1,24
,attempt,25,3,cat,5,0,1,dubuque,1,24
,kill,25,3,cat,5,0,0,dubuque,1,24
,attempt,0,0,cat,4,0,1,dubuque,0,23
,attempt,0,0,kate,4,0,0,dubuque,0,23
,attempt,0,0,gully,4,1,1,dubuque,0,23
,attempt,0,0,cat,4,0,1,dubuque,0,23
,kill,0,0,gully,4,0,0,dubuque,0,23
,attempt,1,1,kate,4,0,1,dubuque,0,23
,attempt,1,1,kate,4,0,0,dubuque,0,23
,kill,2,0,kate,4,0,0,dubuque,0,23
,kill,4,0,kate,4,0,0,dubuque,0,23
,kill,6,2,cat,4,0,0,dubuque,0,23
,error,8,2,t,4,1,0,dubuque,0,23
,attempt,9,1,cat,4,0,0,dubuque,0,23
,kill,9,1,cat,4,1,1,dubuque,0,23
,attempt,10,2,t,4,0,1,dubuque,0,23
,attempt,10,2,any,4,0,0,dubuque,0,23
,error,13,1,any,4,0,0,dubuque,0,23
,attempt,14,0,t,4,1,0,dubuque,0,23
,kill,15,1,any,4,1,1,dubuque,0,23
,kill,17,1,any,4,0,0,dubuque,0,23
,kill,18,2,gully,4,0,1,dubuque,0,23
,attempt,21,1,any,4,0,0,dubuque,0,23
,attempt,23,1,kate,4,0,0,dubuque,0,23
,error,23,1,kate,4,0,1,dubuque,0,23
,kill,28,-2,cat,4,0,1,dubuque,0,23
,kill,29,-1,cat,4,1,1,dubuque,0,23
,kill,30,0,kate,4,1,1,dubuque,0,23
,kill,31,1,kate,4,0,1,dubuque,0,23
,attempt,32,2,kate,4,0,1,dubuque,0,23
,error,32,2,t,4,0,0,dubuque,0,23
,kill,33,1,cat,4,0,0,dubuque,0,23
,kill,34,2,cat,4,0,1,dubuque,0,23
,attempt,35,3,t,4,0,1,dubuque,0,23
,error,37,1,t,4,0,0,dubuque,0,23
,attempt,38,0,cat,4,0,0,dubuque,0,23
,attempt,38,0,cat,4,1,1,dubuque,0,23
,error,40,0,t,4,0,0,dubuque,0,23
,error,41,-1,nic,4,0,0,dubuque,0,23
,attempt,42,-2,t,4,0,0,dubuque,0,23
,attempt,43,-3,any,4,0,0,dubuque,0,23
,attempt,45,-1,any,4,1,0,dubuque,0,23
,kill,46,-2,any,4,0,0,dubuque,0,23
,attempt,47,-1,t,4,0,1,dubuque,0,23
,kill,47,-1,kate,4,0,0,dubuque,0,23
,error,50,0,kate,4,0,0,dubuque,0,23
,attempt,51,-1,any,4,0,1,dubuque,0,23
,attempt,0,0,kate,1,0,0,dubuque,1,20
,kill,1,-1,cat,1,0,0,dubuque,1,20
,attempt,2,0,cat,1,0,1,dubuque,1,20
,kill,2,0,cat,1,0,0,dubuque,1,20
,attempt,4,0,nora,1,0,0,dubuque,1,20
,error,4,0,cat,1,0,0,dubuque,1,20
,error,5,-1,nora,1,0,0,dubuque,1,20
,error,6,-2,cat,1,0,0,dubuque,1,20
,attempt,7,-3,nora,1,0,0,dubuque,1,20
,attempt,8,-4,kate,1,0,0,dubuque,1,20
,attempt,8,-4,nora,1,0,0,dubuque,1,20
,attempt,8,-4,cat,1,1,0,dubuque,1,20
,error,8,-4,cat,1,0,0,dubuque,1,20
,kill,9,-5,kate,1,0,0,dubuque,1,20
,attempt,10,-4,cat,1,0,0,dubuque,1,20
,kill,12,-6,nic,1,0,0,dubuque,1,20
,kill,13,-5,nora,1,1,1,dubuque,1,20
,kill,19,-1,nic,1,0,0,dubuque,1,20
,kill,23,-1,any,1,0,0,dubuque,1,20
,attempt,24,0,kate,1,0,1,dubuque,1,20
,kill,25,-1,kate,1,0,0,dubuque,1,20
,error,30,2,cat,1,0,0,dubuque,1,20
,attempt,31,1,gully,1,0,0,dubuque,1,20
,kill,31,1,gully,1,1,0,dubuque,1,20
,attempt,33,1,kate,1,0,0,dubuque,1,20
,kill,33,1,kate,1,0,0,dubuque,1,20
,attempt,39,7,nora,1,0,1,dubuque,1,20
,kill,40,6,nora,1,0,0,dubuque,1,20
,attempt,41,7,any,1,1,1,dubuque,1,20
,error,41,7,nora,1,0,0,dubuque,1,20
,kill,42,6,nic,1,0,0,dubuque,1,20
,error,0,0,cat,3,0,0,dubuque,1,22
,kill,1,-1,kate,3,0,0,dubuque,1,22
,kill,2,0,gully,3,0,1,dubuque,1,22
,attempt,6,-2,cat,3,0,0,dubuque,1,22
,attempt,6,-2,kate,3,0,0,dubuque,1,22
,attempt,6,-2,cat,3,1,0,dubuque,1,22
,kill,7,-3,gully,3,0,0,dubuque,1,22
,attempt,11,-1,cat,3,0,0,dubuque,1,22
,kill,11,-1,cat,3,0,0,dubuque,1,22
,kill,15,-3,gully,3,0,0,dubuque,1,22
,error,16,-2,nic,3,0,0,dubuque,1,22
,kill,17,-3,nic,3,0,0,dubuque,1,22
,kill,19,-3,kate,3,0,0,dubuque,1,22
,error,21,-1,cat,3,1,0,dubuque,1,22
,attempt,22,-2,kate,3,0,0,dubuque,1,22
,attempt,22,-2,kate,3,0,0,dubuque,1,22
,kill,22,-2,cat,3,0,0,dubuque,1,22
,attempt,23,-1,gully,3,1,1,dubuque,1,22
,error,23,-1,cat,3,0,1,dubuque,1,22
,attempt,24,-2,gully,3,0,0,dubuque,1,22
,attempt,24,-2,gully,3,1,1,dubuque,1,22
,attempt,24,-2,cat,3,0,1,dubuque,1,22
,attempt,24,-2,kate,3,0,1,dubuque,1,22
,kill,25,-3,cat,3,0,0,dubuque,1,22
,kill,26,-2,cat,3,1,0,dubuque,1,22
,kill,29,-1,gully,3,0,0,dubuque,1,22
,kill,31,1,gully,3,0,1,dubuque,1,22
,attempt,32,2,any,3,0,0,dubuque,1,22
,error,32,2,gully,3,0,1,dubuque,1,22
,kill,33,1,gully,3,0,0,dubuque,1,22
,kill,35,1,nic,3,0,0,dubuque,1,22
,kill,37,1,any,3,0,0,dubuque,1,22
,kill,39,1,cat,3,1,1,dubuque,1,22
,kill,40,2,kate,3,0,0,dubuque,1,22
,attempt,41,3,cat,3,0,1,dubuque,1,22
,attempt,42,2,gully,3,0,0,dubuque,1,22
,kill,44,2,nic,3,0,1,dubuque,1,22
,attempt,3,-1,cat,2,0,1,dubuque,0,21
,attempt,4,0,cat,2,1,1,dubuque,0,21
,kill,4,0,kate,2,0,0,dubuque,0,21
,attempt,5,1,kate,2,0,1,dubuque,0,21
,attempt,6,2,nora,2,0,1,dubuque,0,21
,kill,6,2,cat,2,1,1,dubuque,0,21
,kill,9,3,kate,2,0,0,dubuque,0,21
,attempt,10,4,cat,2,1,0,dubuque,0,21
,kill,11,5,cat,2,0,1,dubuque,0,21
,error,12,6,nora,2,0,1,dubuque,0,21
,error,14,6,nora,2,1,1,dubuque,0,21
,attempt,15,5,nic,2,0,0,dubuque,0,21
,attempt,16,4,nic,2,0,0,dubuque,0,21
,kill,16,4,nora,2,1,1,dubuque,0,21
,attempt,17,5,any,2,0,1,dubuque,0,21
,error,19,5,gully,2,0,0,dubuque,0,21
,attempt,20,4,gully,2,1,0,dubuque,0,21
,error,20,4,any,2,0,1,dubuque,0,21
,error,21,3,nic,2,0,0,dubuque,0,21
,attempt,22,2,gully,2,0,0,dubuque,0,21
,kill,23,1,nic,2,0,0,dubuque,0,21
,attempt,25,1,any,2,0,0,dubuque,0,21
,error,26,2,gully,2,1,1,dubuque,0,21
,kill,28,0,cat,2,0,0,dubuque,0,21
,attempt,31,1,nora,2,0,0,dubuque,0,21
,kill,31,1,cat,2,0,0,dubuque,0,21
,attempt,32,2,cat,2,1,1,dubuque,0,21
,error,33,1,nic,2,0,0,dubuque,0,21
,attempt,34,0,cat,2,0,0,dubuque,0,21
,error,34,0,cat,2,0,1,dubuque,0,21
,attempt,35,-1,nic,2,0,0,dubuque,0,21
,kill,35,-1,nic,2,0,0,dubuque,0,21
,attempt,37,-1,nora,2,0,0,dubuque,0,21
,error,38,-2,nic,2,0,0,dubuque,0,21
,attempt,39,-3,nora,2,0,0,dubuque,0,21
,attempt,39,-3,nora,2,0,0,dubuque,0,21
,attempt,39,-3,nic,2,0,0,dubuque,0,21
,attempt,39,-3,nic,2,0,0,dubuque,0,21
,attempt,42,-4,any,2,0,0,dubuque,0,21
,attempt,42,-4,gully,2,0,0,dubuque,0,21
,attempt,42,-4,any,2,0,0,dubuque,0,21
,attempt,42,-4,any,2,0,0,dubuque,0,21
,attempt,0,0,nora,1,0,0,dubuque,0,27
,error,3,1,kate,1,0,0,dubuque,0,27
,attempt,5,-1,cat,1,0,0,dubuque,0,27
,error,6,0,cat,1,1,1,dubuque,0,27
,attempt,7,-1,nic,1,0,0,dubuque,0,27
,kill,7,-1,cat,1,0,1,dubuque,0,27
,error,9,-1,nora,1,1,0,dubuque,0,27
,attempt,10,-2,gully,1,0,0,dubuque,0,27
,error,10,-2,any,1,1,0,dubuque,0,27
,attempt,11,-3,gully,1,0,0,dubuque,0,27
,error,11,-3,any,1,0,0,dubuque,0,27
,error,12,-4,gully,1,0,0,dubuque,0,27
,attempt,13,-5,nic,1,0,0,dubuque,0,27
,attempt,13,-5,gully,1,0,0,dubuque,0,27
,attempt,14,-4,nic,1,0,0,dubuque,0,27
,attempt,14,-4,any,1,1,1,dubuque,0,27
,attempt,16,-4,nic,1,0,0,dubuque,0,27
,attempt,16,-4,nic,1,0,0,dubuque,0,27
,attempt,16,-4,nic,1,0,1,dubuque,0,27
,error,16,-4,any,1,0,0,dubuque,0,27
,attempt,17,-5,nora,1,0,0,dubuque,0,27
,attempt,17,-5,nora,1,0,0,dubuque,0,27
,attempt,18,-6,nora,1,0,0,dubuque,0,27
,attempt,19,-7,nora,1,0,0,dubuque,0,27
,attempt,19,-7,any,1,1,1,dubuque,0,27
,error,19,-7,nora,1,0,0,dubuque,0,27
,kill,20,-6,nora,1,0,0,dubuque,0,27
,attempt,22,-7,nora,1,1,0,dubuque,0,27
,kill,22,-7,any,1,0,0,dubuque,0,27
,kill,26,-6,kate,1,0,0,dubuque,0,27
,kill,28,-6,cat,1,0,0,dubuque,0,27
,error,31,-7,gully,1,0,0,dubuque,0,27
,attempt,32,-8,cat,1,0,0,dubuque,0,27
,error,34,-8,gully,1,0,0,dubuque,0,27
,error,35,-9,nic,1,0,0,dubuque,0,27
,attempt,36,-10,gully,1,0,0,dubuque,0,27
